	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37
37263	M Tu W Th F Sa	17:47	"17:55
17:56"	"17:58
17:59"	"18:01
18:02"	"18:04
18:05"	"18:06
18:07"	"18:09
18:10"	"18:12
18:13"	"18:15
18:16"	"18:19
18:20"	"18:21
18:22"	"18:25
18:26"	"18:27
18:28"	"18:30
18:31"	"18:34
18:35"	"18:38
18:39"	18:48																				
37265	Daily	18:15	"18:23
18:24"	"18:26
18:27"	"18:29
18:30"	"18:32
18:33"	"18:34
18:35"	"18:37
18:38"	"18:40
18:41"	"18:43
18:44"	"18:47
18:48"	"18:49
18:50"	"18:52
18:53"	"18:55
18:56"	"18:58
18:59"	"19:01
19:02"	"19:04
19:05"	19:14																				
37267	Daily	18:20	"18:28
18:29"	"18:31
18:32"	"18:34
18:35"	"18:37
18:38"	"18:39
18:40"	"18:42
18:43"	"18:45
18:46"	"18:48
18:49"	"18:52
18:53"	"18:54
18:55"	"18:57
18:58"	"19:00
19:01"	"19:03
19:04"	"19:11
19:12"	"19:14
19:15"	19:20																				
37269	Daily	18:45	"18:53
18:54"	"18:56
18:57"	"18:59
19:00"	"19:02
19:03"	"19:04
19:05"	"19:07
19:08"	"19:10
19:11"	"19:13
19:14"	"19:17
19:18"	"19:19
19:20"	"19:23
19:24"	"19:25
19:26"	"19:28
19:29"	"19:31
19:32"	"19:34
19:35"	19:45																				
37271	Daily	19:30	"19:38
19:39"	"19:41
19:42"	"19:44
19:45"	"19:47
19:48"	"19:49
19:50"	"19:52
19:53"	"19:55
19:56"	"19:58
19:59"	"20:02
20:03"	"20:04
20:05"	"20:08
20:09"	"20:10
20:11"	"20:13
20:14"	"20:16
20:17"	"20:19
20:20"	20:28																				
37273	Daily	19:40	"19:48
19:49"	"19:51
19:52"	"19:54
19:55"	"19:57
19:58"	"19:59
20:00"	"20:02
20:03"	"20:05
20:06"	"20:08
20:09"	"20:12
20:13"	"20:14
20:15"	"20:18
20:19"	"20:20
20:21"	"20:23
20:24"	"20:26
20:27"	"20:29
20:30"	20:40																				
37275	Daily	20:00	"20:08
20:09"	"20:11
20:12"	"20:14
20:15"	"20:17
20:18"	"20:19
20:20"	"20:22
20:23"	"20:25
20:26"	"20:28
20:29"	"20:32
20:33"	"20:34
20:35"	"20:38
20:39"	"20:40
20:41"	"20:43
20:44"	"20:47
20:48"	"20:50
20:51"	21:00																				
37277	Daily	21:05	"21:13
21:14"	"21:16
21:17"	"21:19
21:20"	"21:22
21:23"	"21:24
21:25"	"21:27
21:28"	"21:30
21:31"	"21:33
21:34"	"21:37
21:38"	"21:39
21:40"	"21:43
21:44"	"21:45
21:46"	"21:48
21:49"	"21:51
21:52"	"21:54
21:55"	22:04																				
37279	Daily	21:10	"21:18
21:19"	"21:21
21:22"	"21:24
21:25"	"21:27
21:28"	"21:29
21:30"	"21:32
21:33"	"21:35
21:36"	"21:38
21:39"	"21:42
21:43"	"21:44
21:45"	"21:47
21:48"	"21:50
21:51"	"21:53
21:54"	"22:01
22:02"	"22:05
22:06"	22:10																				
37281	Daily	21:30	"21:38
21:39"	"21:41
21:42"	"21:45
21:46"	"21:47
21:48"	"21:49
21:50"	"21:52
21:53"	"21:55
21:56"	"21:58
21:59"	"22:02
22:03"	"22:04
22:05"	"22:08
22:09"	"22:10
22:11"	"22:13
22:14"	"22:16
22:17"	"22:19
22:20"	22:30																				
